frame,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder
339,138.39,162.57,174.94,152.39,109.42,120.73,2.49,1.24
340,121.68,163.68,176.09,154.38,127.61,119.67,3.5,0.21
341,105.6,161.17,178.71,154.66,131.63,140.02,6.66,0.28
342,90.73,156.7,177.57,155.87,130.37,142.81,10.84,3.44
343,82.73,153.16,172.82,157.48,135.38,153.23,13.15,6.16
344,78.24,154.03,166.81,159.46,138.14,153.74,17.12,1.37
345,78.79,157.04,161.7,162.2,138.77,143.81,21.58,2.59
346,77.09,158.21,159.26,165.14,134.15,131.65,31.34,4.05
347,91.36,157.75,155.32,165.64,127.76,102.16,40.33,4.87
348,104.88,164.72,150.14,172.43,123.58,67.36,47.16,10.91
349,114.7,165.33,145.72,175.2,120.87,42.43,53.17,15.26
350,124.18,165.81,144.51,178.29,120.28,35.7,56.96,18.85
351,134.01,167.35,146.04,179.39,120.37,34.1,58.87,20.94
352,141.97,167.47,148.89,178.55,122.85,36.72,57.34,21.94
353,150.12,162.5,151.32,178.21,125.7,44.19,55.04,19.1
354,158.33,153.64,154.55,178.74,128.65,45.76,51.91,18.52
355,161.24,139.86,155.43,179.11,131.18,92.72,48.11,16.61
356,162.59,128.94,157.58,176.88,134.46,140.39,42.93,14.61
357,164.11,111.17,159.54,177.6,138.08,153.45,35.14,13.13
358,160.29,90.73,158.64,178.78,140.36,160.85,28.66,11.14
359,158.42,79.49,158.34,176.29,143.2,159.85,22.07,6.77
360,153.98,72.98,158.77,174.85,141.69,163.03,16.5,4.8
361,154.4,70.07,160.73,167.52,137.07,158.31,12.07,1.62
362,153.15,68.24,162.23,158.17,138.93,154.74,7.46,4.93
363,157.09,73.02,166.31,153.62,132.19,143.02,3.01,2.57
364,160.58,85.85,171.06,148.94,117.36,109.8,0.24,1.36
365,163.62,104.3,176.12,144.66,109.3,95.5,3.24,0.56
366,166.08,116.22,179.95,141.11,100.5,78.16,1.78,0.1
367,169.37,125.97,176.0,140.35,92.71,95.06,1.42,0.34
368,170.27,133.79,173.56,140.98,90.75,100.63,2.73,0.23
369,171.68,140.56,171.04,143.17,87.17,84.6,2.88,1.27
370,169.03,148.08,170.26,144.21,97.29,91.12,3.39,1.69
371,161.92,154.76,171.12,146.71,108.55,103.24,4.01,1.72
372,152.58,158.98,172.71,148.72,114.3,121.22,2.75,1.08
373,137.65,161.26,175.04,150.48,143.99,137.89,1.17,1.37
374,119.66,162.41,176.1,153.05,141.99,143.31,1.27,1.78
375,103.17,164.39,177.68,153.85,149.09,154.16,4.8,4.09
376,89.23,158.01,178.99,154.5,146.09,155.47,6.44,5.52
377,81.37,155.9,175.59,156.39,146.01,157.91,9.41,2.59
378,78.31,155.14,166.68,158.55,146.51,153.28,14.14,0.0
379,77.45,157.06,162.93,163.0,142.22,139.49,21.47,2.7
380,81.37,158.44,160.14,164.09,135.29,127.86,29.55,6.03
381,93.11,158.7,155.03,164.95,134.24,92.01,34.94,9.76
382,106.4,162.96,149.38,169.61,131.06,59.2,41.67,12.64
383,118.16,166.28,145.37,173.76,127.35,46.77,47.75,20.22
384,126.2,167.93,144.47,176.87,126.19,35.09,51.85,26.35
385,135.4,169.3,145.24,179.06,127.05,28.53,53.49,27.8
386,142.62,170.47,147.2,178.43,128.94,26.84,53.89,27.73
387,150.38,166.57,149.49,176.31,127.92,32.02,55.61,25.08
388,156.43,155.84,151.64,175.64,129.59,48.13,53.67,19.2
